Date,""Tosse"""
2018-07-14,41
2018-07-15,44
2018-07-16,59
2018-07-17,64
2018-07-18,73
2018-07-19,37
2018-07-20,39
2018-07-21,28
2018-07-22,37
2018-07-23,60
2018-07-24,49
2018-07-25,47
2018-07-26,49
2018-07-27,36
2018-07-28,44
2018-07-29,36
2018-07-30,32
2018-07-31,29
2018-08-01,37
2018-08-02,108
2018-08-03,45
2018-08-04,24
2018-08-05,49
2018-08-06,52
2018-08-07,53
2018-08-08,55
2018-08-09,42
2018-08-10,105
2018-08-11,49
2018-08-12,50
2018-08-13,63
2018-08-14,44
2018-08-15,87
2018-08-16,36
2018-08-17,42
2018-08-18,34
2018-08-19,47
2018-08-20,52
2018-08-21,77
2018-08-22,57
2018-08-23,64
2018-08-24,59
2018-08-25,39
2018-08-26,54
2018-08-27,67
2018-08-28,67
2018-08-29,58
2018-08-30,60
2018-08-31,63
2018-09-01,66
2018-09-02,63
2018-09-03,61
2018-09-04,94
2018-09-05,43
2018-09-06,66
2018-09-07,73
2018-09-08,51
2018-09-09,69
2018-09-10,65
2018-09-11,69
2018-09-12,84
2018-09-13,70
2018-09-14,68
2018-09-15,57
2018-09-16,47
2018-09-17,57
2018-09-18,62
2018-09-19,67
2018-09-20,68
2018-09-21,67
2018-09-22,62
2018-09-23,55
2018-09-24,68
2018-09-25,71
2018-09-26,70
2018-09-27,76
2018-09-28,56
2018-09-29,50
2018-09-30,46
2018-10-01,43
2018-10-02,70
2018-10-03,68
2018-10-04,71
2018-10-05,83
2018-10-06,89
2018-10-07,111
2018-10-08,136
2018-10-09,82
2018-10-10,97
2018-10-11,89
2018-10-12,76
2018-10-13,74
2018-10-14,84
2018-10-15,90
2018-10-16,98
2018-10-17,72
2018-10-18,104
2018-10-19,101
2018-10-20,72
2018-10-21,77
2018-10-22,112
2018-10-23,101
2018-10-24,97
2018-10-25,110
2018-10-26,92
2018-10-27,116
2018-10-28,91
2018-10-29,98
2018-10-30,73
2018-10-31,84
2018-11-01,106
2018-11-02,114
2018-11-03,112
2018-11-04,115
2018-11-05,106
2018-11-06,98
2018-11-07,146
2018-11-08,112
2018-11-09,109
2018-11-10,118
2018-11-11,120
2018-11-12,109
2018-11-13,114
2018-11-14,116
2018-11-15,141
2018-11-16,79
2018-11-17,96
2018-11-18,99
2018-11-19,140
2018-11-20,113
2018-11-21,126
2018-11-22,88
2018-11-23,76
2018-11-24,88
2018-11-25,80
2018-11-26,90
2018-11-27,88
2018-11-28,79
2018-11-29,70
2018-11-30,74
2018-12-01,74
2018-12-02,77
2018-12-03,87
2018-12-04,96
2018-12-05,103
2018-12-06,143
2018-12-07,95
2018-12-08,94
2018-12-09,98
