Date,Raffreddore
2017-12-19,19
2017-12-20,23
2017-12-21,24
2017-12-22,25
2017-12-23,15
2017-12-24,27
2017-12-25,14
2017-12-26,28
2017-12-27,22
2017-12-28,25
2017-12-29,26
2017-12-30,23
2017-12-31,13
2018-01-01,22
2018-01-02,24
2018-01-03,25
2018-01-04,27
2018-01-05,26
2018-01-06,16
2018-01-07,19
2018-01-08,30
2018-01-09,27
2018-01-10,28
2018-01-11,30
2018-01-12,23
2018-01-13,23
2018-01-14,15
2018-01-15,18
2018-01-16,22
2018-01-17,12
2018-01-18,18
2018-01-19,23
2018-01-20,17
2018-01-21,19
2018-01-22,13
2018-01-23,12
2018-01-24,19
2018-01-25,26
2018-01-26,19
2018-01-27,18
2018-01-28,16
2018-01-29,19
2018-01-30,15
2018-01-31,10
2018-02-01,20
2018-02-02,14
2018-02-03,19
2018-02-04,16
2018-02-05,34
2018-02-06,9
2018-02-07,20
2018-02-08,13
2018-02-09,18
2018-02-10,24
2018-02-11,6
2018-02-12,18
2018-02-13,27
2018-02-14,14
2018-02-15,22
2018-02-16,22
2018-02-17,11
2018-02-18,12
2018-02-19,35
2018-02-20,24
2018-02-21,10
2018-02-22,32
2018-02-23,33
2018-02-24,21
2018-02-25,15
2018-02-26,24
2018-02-27,23
2018-02-28,19
2018-03-01,21
2018-03-02,17
2018-03-03,17
2018-03-04,20
2018-03-05,7
2018-03-06,27
2018-03-07,14
2018-03-08,18
2018-03-09,15
2018-03-10,6
2018-03-11,10
2018-03-12,20
2018-03-13,17
2018-03-14,16
2018-03-15,26
2018-03-16,15
2018-03-17,11
2018-03-18,12
2018-03-19,17
2018-03-20,15
2018-03-21,21
2018-03-22,17
2018-03-23,17
2018-03-24,23
2018-03-25,15
2018-03-26,25
2018-03-27,18
2018-03-28,13
2018-03-29,10
2018-03-30,11
2018-03-31,18
2018-04-01,9
2018-04-02,9
2018-04-03,15
2018-04-04,13
2018-04-05,14
2018-04-06,10
2018-04-07,11
2018-04-08,2
2018-04-09,9
2018-04-10,19
2018-04-11,5
2018-04-12,12
2018-04-13,19
2018-04-14,14
2018-04-15,8
2018-04-16,13
2018-04-17,11
2018-04-18,7
2018-04-19,10
2018-04-20,10
2018-04-21,9
2018-04-22,5
2018-04-23,16
2018-04-24,16
2018-04-25,7
2018-04-26,6
2018-04-27,4
2018-04-28,11
2018-04-29,8
2018-04-30,5
2018-05-01,9
2018-05-02,13
2018-05-03,10
2018-05-04,7
2018-05-05,4
2018-05-06,9
2018-05-07,15
2018-05-08,9
2018-05-09,14
2018-05-10,5
2018-05-11,13
2018-05-12,14
2018-05-13,9
2018-05-14,15
2018-05-15,11
2018-05-16,6
2018-05-17,13
2018-05-18,8
2018-05-19,5
2018-05-20,3
2018-05-21,9
2018-05-22,12
2018-05-23,8
2018-05-24,9
2018-05-25,4
2018-05-26,1
2018-05-27,3
2018-05-28,0
2018-05-29,10
2018-05-30,3
2018-05-31,3
2018-06-01,5
2018-06-02,5
2018-06-03,5
2018-06-04,10
2018-06-05,5
2018-06-06,6
2018-06-07,7
2018-06-08,9
2018-06-09,6
2018-06-10,1
2018-06-11,1
2018-06-12,11
2018-06-13,5
2018-06-14,7
2018-06-15,4
2018-06-16,4
2018-06-17,5
2018-06-18,7
2018-06-19,6
2018-06-20,2
2018-06-21,3
2018-06-22,5
2018-06-23,5
2018-06-24,4
2018-06-25,1
2018-06-26,7
2018-06-27,6
2018-06-28,7
2018-06-29,4
2018-06-30,3
2018-07-01,3
2018-07-02,5
2018-07-03,14
2018-07-04,1
2018-07-05,1
2018-07-06,3
2018-07-07,1
2018-07-08,3
2018-07-09,2
2018-07-10,0
2018-07-11,4
2018-07-12,1
2018-07-13,4
2018-07-14,1
2018-07-15,4
2018-07-16,2
2018-07-17,1
2018-07-18,6
2018-07-19,3
2018-07-20,3
2018-07-21,5
2018-07-22,2
2018-07-23,3
2018-07-24,2
2018-07-25,2
2018-07-26,6
2018-07-27,6
2018-07-28,3
2018-07-29,5
2018-07-30,8
2018-07-31,2
2018-08-01,2
2018-08-02,5
2018-08-03,3
2018-08-04,0
2018-08-05,3
2018-08-06,3
2018-08-07,2
2018-08-08,7
2018-08-09,9
2018-08-10,5
2018-08-11,3
2018-08-12,2
2018-08-13,1
2018-08-14,9
2018-08-15,4
2018-08-16,6
2018-08-17,7
2018-08-18,12
2018-08-19,6
2018-08-20,10
2018-08-21,1
2018-08-22,4
2018-08-23,4
2018-08-24,17
2018-08-25,8
2018-08-26,10
2018-08-27,7
2018-08-28,5
2018-08-29,5
2018-08-30,6
2018-08-31,6
2018-09-01,15
2018-09-02,5
2018-09-03,8
2018-09-04,4
2018-09-05,3
2018-09-06,11
2018-09-07,9
2018-09-08,7
2018-09-09,3
